Vehicle Spy 3 Bus Traffic File
Save Date,5/19/2015
Save Time,1:51:21 pm
Start Date,5/19/2015
Start Time,1:41:25 pm
System Time,90634458
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,500000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
2898,92.48575603961944,0.04690104722976685,4504905364799488,F,F,J1708 $0A,J1708,,0A,AA,80,C2,,,,,,,,,,
2899,92.55865663290024,0.07290059328079224,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE E2,,,
2901,92.61814180016518,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,AE,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
2903,92.67845889925956,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F8,,,
2905,92.73773604631424,0.05927714705467224,139706763575296,F,F,J1708 $0A,J1708,,0A,98,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
2907,92.79837825894356,0.06064221262931824,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE FB,,,
2909,92.8577462732792,0.05936801433563232,139706763575296,F,F,J1708 $0A,J1708,,0A,92,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2911,92.9180634021759,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,09 BB 00 00 BE E7,,,
2913,92.9712048470974,0.05314144492149353,4643306390945792,F,F,J1708 $0A,J1708,,0A,A5,80,46,00,47,00,53,00,59,,,,
2914,93.03786563873292,0.06666079163551331,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE ED,,,
2916,93.09735080599784,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,A2,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2918,93.15766787528992,0.06031706929206848,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F4,,,
2920,93.21725708246232,0.0595892071723938,280444251930624,F,F,J1708 $0A,J1708,,0A,9C,80,64,39,66,BC,69,5D,6E,96 A4 7C 05 A8 1D,,,
2922,93.27747017145156,0.06021308898925781,280581690884096,F,F,J1708 $01,J1708,,01,0C,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE D1,,,
2924,93.3369554579258,0.05948528647422791,102323368230912,F,F,J1708 $0A,J1708,,0A,BC,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
2926,93.39727380871772,0.06031835079193115,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EE,,,
2928,93.45665356516838,0.05937975645065308,102323368230912,F,F,J1708 $0A,J1708,,0A,A0,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
2930,93.5170746743679,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE 08,,,
2932,93.5764558315277,0.0593811571598053,280581690884096,F,F,J1708 $0B,J1708,,0B,86,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
2934,93.6368787586689,0.06042292714118958,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EA,,,
2936,93.68377861380578,0.04689985513687134,4504767925846016,F,F,J1708 $0A,J1708,,0A,A4,80,C2,,,,,,,,,,
2937,93.7566791176796,0.07290050387382507,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE DF,,,
2939,93.81616434454918,0.05948522686958313,139706763575296,F,F,J1708 $0A,J1708,,0A,B0,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2941,93.8764814734459,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F5,,,
2943,93.93575859069824,0.05927711725234985,139706763575296,F,F,J1708 $0A,J1708,,0A,9B,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2945,93.9962837100029,0.06052511930465698,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,09 BB 00 00 BE EB,,,
2947,94.05576884746552,0.05948513746261597,139706763575296,F,F,J1708 $0A,J1708,,0A,A1,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2949,94.1160859465599,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,09 BB 00 00 BE EE,,,
2951,94.1692273914814,0.05314144492149353,4643306390945792,F,F,J1708 $0A,J1708,,0A,9E,80,46,00,47,00,53,00,59,,,,
2952,94.23588818311692,0.06666079163551331,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F6,,,
2954,94.29537335038186,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,9A,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2956,94.35569044947624,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F8,,,
2958,94.41527992486954,0.05958947539329529,280444251930624,F,F,J1708 $0A,J1708,,0A,96,80,64,3A,66,BC,69,5D,6E,96 A4 7C 05 A8 1D,,,
2960,94.4754927456379,0.06021282076835632,280581690884096,F,F,J1708 $01,J1708,,01,0B,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E2,,,
2962,94.53487387299538,0.05938112735748291,102323368230912,F,F,J1708 $0A,J1708,,0A,AD,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2964,94.5952949821949,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F2,,,
2966,94.65457212924958,0.05927714705467224,102323368230912,F,F,J1708 $0A,J1708,,0A,9D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2968,94.7150972187519,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE 00,,,
2970,94.77458238601684,0.05948516726493835,280581690884096,F,F,J1708 $0B,J1708,,0B,8D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2972,94.8349016904831,0.06031930446624756,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,0A BB 00 00 BE DE,,,
2974,94.8816972374916,0.0467955470085144,4504767925846016,F,F,J1708 $0A,J1708,,0A,AD,80,C2,,,,,,,,,,
2975,94.95470196008682,0.07300472259521484,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE E5,,,
2977,95.01418685913086,0.05948489904403687,139706763575296,F,F,J1708 $0A,J1708,,0A,A9,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2979,95.0745040178299,0.06031715869903564,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE FC,,,
2981,95.13378235697746,0.05927833914756775,139706763575296,F,F,J1708 $0A,J1708,,0A,95,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2983,95.1943062543869,0.06052389740943909,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE F0,,,
2985,95.25379139184952,0.05948513746261597,139706763575296,F,F,J1708 $0A,J1708,,0A,9D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2987,95.31421250104904,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EF,,,
2989,95.36745795607566,0.05324545502662659,4643306390945792,F,F,J1708 $0A,J1708,,0A,9F,80,46,00,47,00,53,00,59,,,,
2990,95.43391075730324,0.06645280122756958,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE 00,,,
2992,95.49339589476586,0.05948513746261597,280581690884096,F,F,J1708 $0B,J1708,,0B,8E,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
2994,95.55371302366256,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F7,,,
2996,95.61330211162568,0.05958908796310425,280444251930624,F,F,J1708 $0A,J1708,,0A,97,80,64,3A,66,BC,69,5D,6E,96 A4 7E 05 A8 1D,,,
2998,95.6735152900219,0.06021317839622498,280581690884096,F,F,J1708 $01,J1708,,01,09,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE DC,,,
3000,95.73300045728684,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,B2,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3002,95.7933175265789,0.06031706929206848,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F2,,,
3004,95.85259467363358,0.05927714705467224,102323368230912,F,F,J1708 $0A,J1708,,0A,9D,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3006,95.91311976313592,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE FB,,,
3008,95.97250092029572,0.0593811571598053,102323368230912,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3010,96.03292202949524,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE F2,,,
3012,96.07971972227096,0.04679769277572632,4504767925846016,F,F,J1708 $0A,J1708,,0A,9B,80,C2,,,,,,,,,,
3013,96.15272450447082,0.07300478219985962,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E4,,,
3015,96.21220943331718,0.05948492884635925,139706763575296,F,F,J1708 $0A,J1708,,0A,AB,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3017,96.27252653241158,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE ED,,,
3019,96.33180370926856,0.05927717685699463,139706763575296,F,F,J1708 $0A,J1708,,0A,A3,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3021,96.3923287987709,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E0,,,
3023,96.45181468129158,0.05948588252067566,139706763575296,F,F,J1708 $0A,J1708,,0A,AD,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3025,96.51213103532792,0.06031635403633118,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E4,,,
3027,96.56527251005172,0.05314147472381592,4643306390945792,F,F,J1708 $0A,J1708,,0A,A9,80,46,00,47,00,53,00,59,,,,
3028,96.63193398714066,0.06666147708892822,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE 02,,,
3030,96.69131445884704,0.05938047170639038,280581690884096,F,F,J1708 $0B,J1708,,0B,8C,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3032,96.75173553824424,0.06042107939720154,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F0,,,
3034,96.811324685812,0.05958914756774902,280444251930624,F,F,J1708 $0A,J1708,,0A,9E,80,64,39,66,BC,69,5D,6E,96 A4 7A 05 A8 1C,,,
3036,96.87164178490638,0.06031709909439087,280581690884096,F,F,J1708 $01,J1708,,01,0F,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE D8,,,
3038,96.93102297186852,0.05938118696212769,102323368230912,F,F,J1708 $0A,J1708,,0A,B5,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3040,96.99134120345116,0.0603182315826416,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE EE,,,
3042,97.05061721801758,0.05927601456642151,102323368230912,F,F,J1708 $0A,J1708,,0A,A2,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3044,97.11114230751992,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F9,,,
3046,97.17062744498252,0.05948513746261597,102323368230912,F,F,J1708 $0A,J1708,,0A,96,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3048,97.23094454407692,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE F1,,,
3050,97.2778462767601,0.04690173268318176,4504767925846016,F,F,J1708 $0A,J1708,,0A,9C,80,C2,,,,,,,,,,
3051,97.35074681043624,0.07290053367614746,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE E5,,,
3053,97.41023197770118,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A9,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3055,97.47054904699326,0.06031706929206848,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE 01,,,
3057,97.52982619404792,0.05927714705467224,280581690884096,F,F,J1708 $0B,J1708,,0B,8D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3059,97.59035137295722,0.06052517890930176,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EA,,,
3061,97.6497328877449,0.05938151478767395,139706763575296,F,F,J1708 $0A,J1708,,0A,A4,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3063,97.71015444397926,0.06042155623435974,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E2,,,
3065,97.76329505443572,0.05314061045646667,4643306390945792,F,F,J1708 $0A,J1708,,0A,AB,80,46,00,47,00,53,00,59,,,,
3066,97.82995584607124,0.06666079163551331,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE 01,,,
3068,97.88944098353386,0.05948513746261597,280581690884096,F,F,J1708 $0B,J1708,,0B,8D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3070,97.94986209273338,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE F9,,,
3072,98.00934725999832,0.05948516726493835,280444251930624,F,F,J1708 $0A,J1708,,0A,94,80,64,3A,66,BC,69,5D,6E,96 A4 7F 05 A8 1C,,,
3074,98.06956034898758,0.06021308898925781,280581690884096,F,F,J1708 $01,J1708,,01,09,80,54,00,56,00,5B,07,5C,09 BB 00 00 BE E1,,,
3076,98.12894144654274,0.05938109755516052,102323368230912,F,F,J1708 $0A,J1708,,0A,AB,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3078,98.1893626153469,0.0604211688041687,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE ED,,,
3080,98.2486397922039,0.05927717685699463,102323368230912,F,F,J1708 $0A,J1708,,0A,A3,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3082,98.30916485190392,0.06052505970001221,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F8,,,
3084,98.36875456571578,0.05958971381187439,102323368230912,F,F,J1708 $0A,J1708,,0A,97,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3086,98.42896708846092,0.06021252274513245,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE F0,,,
3088,98.4758688211441,0.04690173268318176,4504767925846016,F,F,J1708 $0A,J1708,,0A,9D,80,C2,,,,,,,,,,
3089,98.54876974225044,0.0729009211063385,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F3,,,
3091,98.60815048217774,0.05938073992729187,139706763575296,F,F,J1708 $0A,J1708,,0A,9B,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3093,98.66857162117958,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F7,,,
3095,98.72784876823426,0.05927714705467224,139706763575296,F,F,J1708 $0A,J1708,,0A,97,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3097,98.78837385773658,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE E7,,,
3099,98.84785902500152,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A7,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3101,98.90817612409592,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE E5,,,
3103,98.96142160892486,0.05324548482894897,4643306390945792,F,F,J1708 $0A,J1708,,0A,A9,80,46,00,47,00,53,00,59,,,,
3104,99.02797836065292,0.06655675172805786,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FA,,,
3106,99.08735951781272,0.0593811571598053,102323368230912,F,F,J1708 $0A,J1708,,0A,96,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3108,99.14778062701226,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE FD,,,
3110,99.20726573467254,0.05948510766029358,280444251930624,F,F,J1708 $0A,J1708,,0A,90,80,64,3A,66,BC,69,5D,6E,96 A4 7D 05 A8 1D,,,
3112,99.26758286356926,0.06031712889671326,280581690884096,F,F,J1708 $01,J1708,,01,0A,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE EA,,,
3114,99.3270680308342,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,A3,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3116,99.38738512992858,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F5,,,
3118,99.44666230678558,0.05927717685699463,102323368230912,F,F,J1708 $0A,J1708,,0A,9C,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3120,99.5071873664856,0.06052505970001221,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FC,,,
3122,99.56667309999466,0.05948573350906372,102323368230912,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3124,99.62698963284492,0.0603165328502655,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E1,,,
3126,99.67389133572578,0.04690170288085938,4504767925846016,F,F,J1708 $0A,J1708,,0A,AC,80,C2,,,,,,,,,,
3127,99.74679186940194,0.07290053367614746,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F1,,,
3129,99.80627700686454,0.05948513746261597,139706763575296,F,F,J1708 $0A,J1708,,0A,9D,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3131,99.86659413576126,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE FB,,,
3133,99.92587128281594,0.05927714705467224,139706763575296,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3135,99.98639631271362,0.06052502989768982,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EA,,,
3137,100.0458815395832,0.05948522686958313,139706763575296,F,F,J1708 $0A,J1708,,0A,A4,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3139,100.1061986386776,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE DE,,,
3141,100.1593400835991,0.05314144492149353,4643306390945792,F,F,J1708 $0A,J1708,,0A,B1,80,46,00,47,00,53,00,59,,,,
3142,100.2260009050369,0.06666082143783569,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F3,,,
3144,100.2854860424995,0.05948513746261597,102323368230912,F,F,J1708 $0A,J1708,,0A,9C,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3146,100.3458066880703,0.060320645570755,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE 01,,,
3148,100.4053922593594,0.0595855712890625,280581690884096,F,F,J1708 $0B,J1708,,0B,8C,80,64,3A,66,BC,69,5D,6E,96 A4 7D 05 A8 1D,,,
3150,100.465606033802,0.06021377444267273,280581690884096,F,F,J1708 $01,J1708,,01,0A,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EB,,,
3152,100.5250923037529,0.0594862699508667,102323368230912,F,F,J1708 $0A,J1708,,0A,A3,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3154,100.5855115950108,0.06041929125785828,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE EE,,,
3156,100.6446847617626,0.05917316675186157,102323368230912,F,F,J1708 $0A,J1708,,0A,A2,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3158,100.7052099108696,0.06052514910697937,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE EF,,,
3160,100.7645910382271,0.05938112735748291,102323368230912,F,F,J1708 $0A,J1708,,0A,A1,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
3162,100.8250121176243,0.06042107939720154,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E5,,,
3164,100.8719137609005,0.0469016432762146,4504767925846016,F,F,J1708 $0A,J1708,,0A,A8,80,C2,,,,,,,,,,
3165,100.9448143839836,0.07290062308311462,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F4,,,
3167,101.0042995512486,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,9A,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3169,101.0647206604481,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE FB,,,
3171,101.1238937973976,0.05917313694953918,139706763575296,F,F,J1708 $0A,J1708,,0A,93,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3173,101.1844188868999,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,09 BB 00 00 BE DF,,,
3175,101.2438000142574,0.05938112735748291,139706763575296,F,F,J1708 $0A,J1708,,0A,AD,80,02,00,28,FF,55,00,79,00 B7 2A 00 B8 00,,,
3177,101.3042211830616,0.0604211688041687,280581690884096,F,F,J1708 $00,J1708,,00,F0,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E2,,,
3179,101.3573625683784,0.05314138531684875,4643306390945792,F,F,J1708 $0A,J1708,,0A,AD,80,46,00,47,00,53,00,59,,,,
